SAMPLE,nIGH,nIGK,nIGL,nTCRA,nTCRB,nTCRD,nTCRG,loadIGH,loadIGK,loadIGL,loadTCRA,loadTCRB,loadTCRD,loadTCRG,alphaIGH,alphaIGK,alphaIGL,alphaTCRA,alphaTCRB,alphaTCRD,alphaTCRG
004-B1_S3_L001,3,95,31,1,0,0,0,6,666,118,2,0,0,0,1.098612289,3.093716278,3.242312697,0,0,0,0
004-B1_S3_L002,10,112,44,0,0,0,0,21,719,132,0,0,0,0,2.29345167,3.453028777,3.681734621,0,0,0,0
004-B1_S3_L003,3,93,30,0,0,0,0,9,657,103,0,0,0,0,1.060856947,3.125063829,3.274892789,0,0,0,0
004-B1_S3_L004,4,50,9,1,0,0,0,8,345,24,3,0,0,0,1.386294361,2.787626267,2.127805079,0,0,0,0
004-B2_S4_L001,13,169,69,1,1,0,0,40,1295,236,3,3,0,0,2.44770147,3.678192437,4.049689406,0,0,0,0
004-B2_S4_L002,15,164,68,1,0,0,0,55,1410,228,2,0,0,0,2.424148364,3.624779603,4.061988568,0,0,0,0
004-B2_S4_L003,12,152,56,0,0,0,0,42,1260,198,0,0,0,0,2.202521075,3.5236417,3.833918041,0,0,0,0
004-B2_S4_L004,12,87,13,0,0,0,0,30,593,31,0,0,0,0,2.430791329,3.203888836,2.533686002,0,0,0,0
004-E_S5_L001,0,15,2,0,0,0,0,0,41,4,0,0,0,0,0,2.63539959,0.693147181,0,0,0,0
004-E_S5_L002,1,12,5,1,0,0,0,2,25,11,2,0,0,0,0,2.477072831,1.594166699,0,0,0,0
004-E_S5_L003,0,9,2,1,0,0,0,0,21,4,2,0,0,0,0,2.161423636,0.693147181,0,0,0,0
004-E_S5_L004,0,1,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0
019-A2_S6_L001,3,56,23,0,0,0,0,6,270,100,0,0,0,0,1.098612289,3.467460753,2.892037088,0,0,0,0
019-A2_S6_L002,4,55,24,2,1,0,0,9,270,100,4,2,0,0,1.368922361,3.514757975,2.878052739,0.693147181,0,0,0
019-A2_S6_L003,4,62,31,0,0,0,0,12,290,106,0,0,0,0,1.329661349,3.582052456,3.211730934,0,0,0,0
019-A2_S6_L004,3,35,12,3,0,0,0,6,125,29,9,0,0,0,1.098612289,3.277217449,2.464425318,1.060856947,0,0,0
019-B3_S7_L001,6,62,41,1,0,0,0,28,336,241,2,0,0,0,1.587443988,3.453023373,3.058052498,0,0,0,0
019-B3_S7_L002,13,70,37,0,0,0,0,40,365,264,0,0,0,0,2.393923593,3.615518669,2.996726602,0,0,0,0
019-B3_S7_L003,7,60,38,0,0,0,0,29,338,247,0,0,0,0,1.74070054,3.51983734,3.032276946,0,0,0,0
019-B3_S7_L004,5,26,12,0,0,0,0,15,104,65,0,0,0,0,1.547286733,3.019975262,2.227697401,0,0,0,0
019-K_S8_L001,1,24,7,0,1,0,0,2,89,22,0,2,0,0,0,2.792916646,1.846220219,0,0,0,0
019-K_S8_L002,2,24,7,0,1,0,0,5,103,14,0,3,0,0,0.673011667,2.839303446,1.945910149,0,0,0,0
019-K_S8_L003,1,20,6,0,1,0,0,3,85,12,0,9,0,0,0,2.757736432,1.791759469,0,0,0,0
019-K_S8_L004,0,12,0,0,0,0,0,0,31,0,0,0,0,0,0,2.425135733,0,0,0,0,0
020-A2_S9_L001,0,1,0,0,1,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0
020-A2_S9_L002,0,1,1,1,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0
020-A2_S9_L003,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
020-A2_S9_L004,0,0,0,2,1,0,0,0,0,0,5,3,0,0,0,0,0,0.673011667,0,0,0
020-B1_S10_L001,0,10,1,2,2,0,1,0,22,2,4,4,0,2,0,2.28731388,0,0.693147181,0.693147181,0,0
020-B1_S10_L002,0,10,3,1,5,0,1,0,24,6,2,10,0,2,0,2.268015843,1.098612289,0,1.609437912,0,0
020-B1_S10_L003,1,4,3,5,2,0,0,2,8,6,10,4,0,0,0,1.386294361,1.098612289,1.609437912,0.693147181,0,0
020-B1_S10_L004,0,7,0,0,1,0,0,0,15,0,0,2,0,0,0,1.933809999,0,0,0,0,0
HH018-3rd_S2_L001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HH018-3rd_S2_L002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HH018-3rd_S2_L003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HH018-3rd_S2_L004,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0.693147181,0,0,0
HH018-D1_S1_L001,1,0,0,0,1,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0
HH018-D1_S1_L002,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
HH018-D1_S1_L003,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
HH018-D1_S1_L004,0,0,0,7,0,0,0,0,0,0,16,0,0,0,0,0,0,1.927392126,0,0,0
