SAMPLE,line_counts
004-B1_S3_L001,24148612
004-B1_S3_L002,24547408
004-B1_S3_L003,23647164
004-B1_S3_L004,24008280
004-B2_S4_L001,26988096
004-B2_S4_L002,27381516
004-B2_S4_L003,26461644
004-B2_S4_L004,26703204
004-E_S5_L001,31827132
004-E_S5_L002,32460692
004-E_S5_L003,31188532
004-E_S5_L004,31591312
019-A2_S6_L001,29022604
019-A2_S6_L002,29498788
019-A2_S6_L003,28508704
019-A2_S6_L004,28814612
019-B3_S7_L001,25734172
019-B3_S7_L002,26204588
019-B3_S7_L003,25254732
019-B3_S7_L004,25498068
019-K_S8_L001,25092904
019-K_S8_L002,25463796
019-K_S8_L003,24478636
019-K_S8_L004,24871516
020-A2_S9_L001,23490236
020-A2_S9_L002,23779308
020-A2_S9_L003,22918260
020-A2_S9_L004,23188916
020-B1_S10_L001,24311256
020-B1_S10_L002,24883968
020-B1_S10_L003,23840708
020-B1_S10_L004,24259628
HH018-3rd_S2_L001,24048976
HH018-3rd_S2_L002,24583244
HH018-3rd_S2_L003,23631264
HH018-3rd_S2_L004,23947304
HH018-D1_S1_L001,27839152
HH018-D1_S1_L002,28558496
HH018-D1_S1_L003,27468452
HH018-D1_S1_L004,27702800
