SAMPLE,nIGH,nIGK,nIGL,nTCRA,nTCRB,nTCRD,nTCRG,loadIGH,loadIGK,loadIGL,loadTCRA,loadTCRB,loadTCRD,loadTCRG,alphaIGH,alphaIGK,alphaIGL,alphaTCRA,alphaTCRB,alphaTCRD,alphaTCRG,line_counts
004-B1_S3_L001,0.49692297014834647,15.735894054697637,5.134870691532913,0.16564099004944882,0.0,0.0,0.0,0.9938459402966929,110.31689937293291,19.545636825834958,0.33128198009889764,0.0,0.0,0.0,1.098612289,3.093716278,3.242312697,0.0,0.0,0,0,6037153.0
004-B1_S3_L002,1.629499945574702,18.25039939043666,7.169799760528687,0.0,0.0,0.0,0.0,3.4219498857068738,117.16104608682106,21.509399281586063,0.0,0.0,0.0,0.0,2.29345167,3.453028777,3.681734621,0.0,0.0,0,0,6136852.0
004-B1_S3_L003,0.5074604295043583,15.731273314635107,5.074604295043583,0.0,0.0,0.0,0.0,1.522381288513075,111.13383406145448,17.422808079649634,0.0,0.0,0.0,0.0,1.060856947,3.125063829,3.274892789,0.0,0.0,0,0,5911791.0
004-B1_S3_L004,0.6664367459893004,8.330459324866254,1.4994826784759259,0.1666091864973251,0.0,0.0,0.0,1.3328734919786007,57.48016934157716,3.998620475935802,0.49982755949197527,0.0,0.0,0.0,1.386294361,2.787626267,2.127805079,0.0,0.0,0,0,6002070.0
004-B2_S4_L001,1.9267754197999,25.0480804573987,10.226731074322547,0.14821349383076154,0.14821349383076154,0.0,0.0,5.928539753230461,191.9364745108362,34.97838454405972,0.4446404814922846,0.4446404814922846,0.0,0.0,2.44770147,3.678192437,4.049689406,0.0,0.0,0,0,6747024.0
004-B2_S4_L002,2.1912592421836687,23.957767714541447,9.933708564565965,0.14608394947891123,0.0,0.0,0.0,8.034617221340119,205.97836876526486,33.30714048119176,0.29216789895782247,0.0,0.0,0.0,2.424148364,3.624779603,4.061988568,0.0,0.0,0,0,6845379.0
004-B2_S4_L003,1.8139462536794766,22.976652546606704,8.465082517170892,0.0,0.0,0.0,0.0,6.348811887878168,190.46435663634506,29.930113185711363,0.0,0.0,0.0,0.0,2.202521075,3.5236417,3.833918041,0.0,0.0,0,0,6615411.0
004-B2_S4_L004,1.7975371045362198,13.032144007887593,1.9473318632475713,0.0,0.0,0.0,0.0,4.49384276134055,88.82829191583153,4.643637520051901,0.0,0.0,0.0,0.0,2.430791329,3.203888836,2.533686002,0.0,0.0,0,0,6675801.0
004-E_S5_L001,0.0,1.8851839996139144,0.25135786661518855,0.0,0.0,0.0,0.0,0.0,5.152836265611366,0.5027157332303771,0.0,0.0,0.0,0.0,0.0,2.63539959,0.693147181,0.0,0.0,0,0,7956783.0
004-E_S5_L002,0.12322596203432756,1.4787115444119305,0.6161298101716377,0.12322596203432756,0.0,0.0,0.0,0.24645192406865513,3.080649050858189,1.355485582377603,0.24645192406865513,0.0,0.0,0.0,0.0,2.477072831,1.594166699,0.0,0.0,0,0,8115173.0
004-E_S5_L003,0.0,1.1542704222180127,0.2565045382706695,0.12825226913533475,0.0,0.0,0.0,0.0,2.6932976518420295,0.513009076541339,0.2565045382706695,0.0,0.0,0.0,0.0,2.161423636,0.693147181,0.0,0.0,0,0,7797133.0
004-E_S5_L004,0.0,0.1266170901670687,0.1266170901670687,0.0,0.0,0.0,0.0,0.0,0.2532341803341374,0.2532341803341374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,7897828.0
019-A2_S6_L001,0.4134708243271348,7.718122054106517,3.1699429865080337,0.0,0.0,0.0,0.0,0.8269416486542696,37.21237418944214,13.782360810904494,0.0,0.0,0.0,0.0,1.098612289,3.467460753,2.892037088,0.0,0.0,0,0,7255651.0
019-A2_S6_L002,0.5423951655234107,7.457933525946896,3.254370993140464,0.27119758276170536,0.13559879138085268,0.0,0.0,1.2203891224276742,36.61167367283022,13.559879138085266,0.5423951655234107,0.27119758276170536,0.0,0.0,1.368922361,3.514757975,2.878052739,0.693147181,0.0,0,0,7374697.0
019-A2_S6_L003,0.5612321065173639,8.699097651019141,4.3495488255095704,0.0,0.0,0.0,0.0,1.6836963195520918,40.68932772250889,14.872650822710144,0.0,0.0,0.0,0.0,1.329661349,3.582052456,3.211730934,0.0,0.0,0,0,7127176.0
019-A2_S6_L004,0.41645537340568733,4.858646023066353,1.6658214936227493,0.41645537340568733,0.0,0.0,0.0,0.8329107468113747,17.352307225236974,4.025735276254978,1.249366120217062,0.0,0.0,0.0,1.098612289,3.277217449,2.464425318,1.060856947,0.0,0,0,7203653.0
019-B3_S7_L001,0.9326120925903503,9.63699162343362,6.3728492993673935,0.15543534876505838,0.0,0.0,0.0,4.352189765421635,52.226277185059615,37.45991905237907,0.31087069753011676,0.0,0.0,0.0,1.587443988,3.453023373,3.058052498,0.0,0.0,0,0,6433543.0
019-B3_S7_L002,1.9843853297750758,10.685151775711947,5.647865938590601,0.0,0.0,0.0,0.0,6.105801014692542,55.71543425906944,40.29828669697078,0.0,0.0,0.0,0.0,2.393923593,3.615518669,2.996726602,0.0,0.0,0,0,6551147.0
019-B3_S7_L003,1.1087031135392764,9.50316954462237,6.018674044927501,0.0,0.0,0.0,0.0,4.593198613234145,53.53452176803935,39.12138129202876,0.0,0.0,0.0,0.0,1.74070054,3.51983734,3.032276946,0.0,0.0,0,0,6313683.0
019-B3_S7_L004,0.7843731532914573,4.078740397115578,1.8824955678994975,0.0,0.0,0.0,0.0,2.353119459874372,16.31496158846231,10.196850992788944,0.0,0.0,0.0,0.0,1.547286733,3.019975262,2.227697401,0.0,0.0,0,0,6374517.0
019-K_S8_L001,0.15940761579448917,3.82578277906774,1.1158533105614241,0.0,0.15940761579448917,0.0,0.0,0.31881523158897834,14.187277805709535,3.5069675474787614,0.0,0.31881523158897834,0.0,0.0,0.0,2.792916646,1.846220219,0.0,0.0,0,0,6273226.0
019-K_S8_L002,0.3141715398599643,3.770058478319572,1.0996003895098752,0.0,0.15708576992998216,0.0,0.0,0.7854288496499108,16.179834302788162,2.1992007790197503,0.0,0.4712573097899465,0.0,0.0,0.673011667,2.839303446,1.945910149,0.0,0.0,0,0,6365949.0
019-K_S8_L003,0.16340779772206263,3.2681559544412524,0.9804467863323758,0.0,0.16340779772206263,0.0,0.0,0.4902233931661879,13.889662806375323,1.9608935726647516,0.0,1.4706701794985635,0.0,0.0,0.0,2.757736432,1.791759469,0.0,0.0,0,0,6119659.0
019-K_S8_L004,0.0,1.9299185461794932,0.0,0.0,0.0,0.0,0.0,0.0,4.9856229109636905,0.0,0.0,0.0,0.0,0.0,0.0,2.425135733,0.0,0.0,0.0,0,0,6217879.0
020-A2_S9_L001,0.0,0.17028351694721158,0.0,0.0,0.17028351694721158,0.0,0.0,0.0,0.34056703389442317,0.0,0.0,0.34056703389442317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5872559.0
020-A2_S9_L002,0.0,0.1682134736637416,0.1682134736637416,0.1682134736637416,0.0,0.0,0.0,0.0,0.3364269473274832,0.3364269473274832,0.3364269473274832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5944827.0
020-A2_S9_L003,0.0,0.17453331971973438,0.0,0.0,0.0,0.0,0.0,0.0,0.5235999591592031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5729565.0
020-A2_S9_L004,0.0,0.0,0.0,0.3449924093045143,0.17249620465225715,0.0,0.0,0.0,0.0,0.0,0.8624810232612857,0.5174886139567714,0.0,0.0,0.0,0.0,0.0,0.673011667,0.0,0,0,5797229.0
020-B1_S10_L001,0.0,1.6453284026131763,0.16453284026131765,0.3290656805226353,0.3290656805226353,0.0,0.16453284026131765,0.0,3.619722485748988,0.3290656805226353,0.6581313610452706,0.6581313610452706,0.0,0.3290656805226353,0.0,2.28731388,0.0,0.693147181,0.693147181,0,0,6077814.0
020-B1_S10_L002,0.0,1.6074606750820446,0.48223820252461347,0.16074606750820447,0.8037303375410223,0.0,0.16074606750820447,0.0,3.8579056201969077,0.9644764050492269,0.32149213501640894,1.6074606750820446,0.0,0.32149213501640894,0.0,2.268015843,1.098612289,0.0,1.609437912,0,0,6220992.0
